rank,img,title,artist,album
1,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,I AM,IVE (아이브)IVE (아이브),I've IVE
2,https://cdnimg.melon.co.kr/cm2/album/images/112/34/678/11234678_20230502162327_500.jpg/melon/resize/120/quality/80/optimize,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)LE SSERAFIM (르세라핌),UNFORGIVEN
3,https://cdnimg.melon.co.kr/cm2/album/images/112/11/297/11211297_20230410151046_500.jpg/melon/resize/120/quality/80/optimize,Kitsch,IVE (아이브)IVE (아이브),I've IVE
4,https://cdnimg.melon.co.kr/cm2/album/images/112/29/537/11229537_20230421170444_500.jpg/melon/resize/120/quality/80/optimize,손오공,세븐틴 (SEVENTEEN)세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
5,https://cdnimg.melon.co.kr/cm2/album/images/112/36/264/11236264_20230508184331_500.jpg/melon/resize/120/quality/80/optimize,Spicy,aespaaespa,MY WORLD - The 3rd Mini Album
6,https://cdnimg.melon.co.kr/cm2/album/images/112/14/411/11214411_20230330163342_500.jpg/melon/resize/120/quality/80/optimize,꽃,지수 (JISOO)지수 (JISOO),ME
7,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,Ditto,NewJeansNewJeans,NewJeans 'OMG'
8,https://cdnimg.melon.co.kr/cm2/album/images/110/11/565/11011565_20220801102637_500.jpg/melon/resize/120/quality/80/optimize,Hype boy,NewJeansNewJeans,NewJeans 1st EP 'New Jeans'
9,https://cdnimg.melon.co.kr/cm2/album/images/111/66/539/11166539_20230207143921_500.jpg/melon/resize/120/quality/80/optimize,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
10,https://cdnimg.melon.co.kr/cm2/album/images/112/33/031/11233031_20230427140957_500.jpg/melon/resize/120/quality/80/optimize,물론,허각허각,물론
11,https://cdnimg.melon.co.kr/cm2/album/images/112/27/533/11227533_20230419162238_500.jpg/melon/resize/120/quality/80/optimize,헤어지자 말해요,박재정박재정,1집 Alone
12,https://cdnimg.melon.co.kr/cm2/album/images/111/27/145/11127145_20230102135733_500.jpg/melon/resize/120/quality/80/optimize,OMG,NewJeansNewJeans,NewJeans 'OMG'
13,https://cdnimg.melon.co.kr/cm2/album/images/112/24/405/11224405_20230414143309_500.jpg/melon/resize/120/quality/80/optimize,FRIEND THE END,볼빨간사춘기볼빨간사춘기,사랑.zip
14,https://cdnimg.melon.co.kr/cm2/album/images/107/35/654/10735654_20211008114339_500.jpg/melon/resize/120/quality/80/optimize,사랑은 늘 도망가,임영웅임영웅,신사와 아가씨 OST Part.2
15,https://cdnimg.melon.co.kr/cm2/album/images/111/65/170/11165170_20230214120544_500.jpg/melon/resize/120/quality/80/optimize,Teddy Bear,STAYC(스테이씨)STAYC(스테이씨),Teddy Bear
16,https://cdnimg.melon.co.kr/cm2/album/images/109/03/868/10903868_20220330103544_500.jpg/melon/resize/120/quality/80/optimize,사건의 지평선,윤하 (YOUNHA)윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
17,https://cdnimg.melon.co.kr/cm2/album/images/112/30/265/11230265_20230424170802_500.jpg/melon/resize/120/quality/80/optimize,Heaven(2023),임재현임재현,시작은 첫키스 OST Part.1
