,공원명,면적,주소,경도,위도
47,초안산근린공원,664905,서울특별시 도봉구 창동 산157,127.0455446,37.648316
48,동명근린공원,99599,서울특별시 강동구 고덕2동 229,127.1676703,37.5598341
49,마로니에공원,5802,서울특별시 종로구 대학로8길 1,127.0027886,37.5802295
50,자매근린공원,16500,서울특별시 영등포구 의사당대로 166 (우) 07324,126.9302895,37.5177329
51,장지근린공원,585652,서울특별시 송파구 장지동 산 11번지,127.1387,37.4957083
52,명일근린공원,649709,서울특별시 강동구 상일동 135,127.1613641,37.5537143
53,방화근린공원,72132,서울특별시 강서구 금낭화로 176(방화공원),126.8132285,37.5819812
54,아시아근린공원,66027,서울특별시 송파구 올림픽로 44 (잠실동),127.0762885,37.5102779
55,배봉산근린공원,265582,서울특별시 동대문구 한천로43길 12-14(배봉산공원) ,127.0641623,37.5812324
56,안산도시자연공원,2088704,서울특별시 서대문구 홍제동 산33-98,126.9390273,37.5798246
57,염창근린공원,112070,서울특별시 강서구 염창동 산24-1,126.8689817,37.5579702
58,백련근린공원,993724,서울특별시 서대문구 통일로 507-22(백련공원) ,126.928616,37.5879662
59,오금근린공원,219167,서울특별시 송파구 오금로 363 오금근린공원 ,127.1323957,37.5038715
60,오동근린공원,1349556,서울특별시 강북구 번동 산20-1,127.0317269,37.6327957
61,봉산도시자연공원,1511198,서울특별시 은평구 구산동 산61,126.9020153,37.604071
62,온수도시자연공원,1097565,서울특별시 구로구 개봉동 산2-60,126.83695,37.5002598
63,봉은공원,328018,서울특별시 강남구 삼성동 75,127.0554961,37.5139026
64,올림픽공원,1447122,서울특별시 송파구 올림픽로 424 (방이동),127.122959,37.520934
65,와룡근린공원,207790,서울특별시 종로구 와룡공원길 192 (우) 03063,126.9901672,37.5907944
66,봉화산근린공원,1018689,서울특별시 중랑구 묵동 산46-1,127.0923625,37.6106404
67,북악산도시자연공원,954553,서울특별시 종로구 부암동 산2-6,126.9737295,37.5929992
68,북한산국립공원,1667848,서울특별시 종로구 은평구 서대문구 성북구 강북구 도봉구 일대 경기도 의정부 양주군 고양시 일대,127.000938,37.624549
69,외국인묘지공원,13224,서울특별시 마포구 양화진길 46(외국인묘지공원),126.911414,37.546797
70,불광근린공원,130345,서울특별시 은평구 불광동 산33-1,126.9298962,37.6188016
71,불암산도시자연공원,5332422,서울특별시 노원구 한글비석로12길 51-33(불암산공원) ,127.0952714,37.6636719
72,용마폭포공원,5107964,서울특별시 중랑구 면목동 산1-4 ,127.0905888,37.5731968
73,사육신공원,47832,서울특별시 동작구 노량진로 191,126.948636,37.5137049
74,용왕산근린공원,213552,서울특별시 양천구 목동 199-51,126.8783125,37.5429593
75,사직근린공원,168099,서울특별시 종로구 사직로9길 5,126.9674018,37.5759864
76,우장산근린공원,359435,서울특별시 강서구 내발산동 산4-5,126.844932,37.5541932
77,삼일근린공원,36660,서울특별시 동작구 사당동 산24-17,126.9743686,37.4860183
78,삼청근린공원,380735,서울특별시 종로구 북촌로 134-1 (우) 03050,126.9842875,37.5895821
79,인왕산도시자연공원,1807420,서울특별시 종로구 옥인동 산 3-1 ,126.9578438,37.5849001
80,상도근린공원,359342,서울특별시 동작구 성대로6사길 27-6(상도공원) ,126.9385469,37.492299
81,일자산도시자연공원,632733,서울특별시 강동구 동남로 660(일자산공원),127.1574587,37.5431657
82,쌍문근린공원,328018,서울특별시 도봉구 쌍문동 산80,127.0271316,37.6531456
83,수락산도시자연공원,6691885,서울특별시 노원구 상계동 산3-1,127.0813633,37.699232
84,송파나루근린공원(석촌호수),285757,서울특별시 송파구 잠실로 148 (잠실동) ,127.0983002,37.5069328
85,선유도근린공원,110407,서울특별시 영등포구 선유로 343 (당산동 1) 선유도공원관리사무소,126.90014,37.543418
86,손기정체육공원,29682,서울특별시 중구 손기정로 101 ,126.9652702,37.5560189
87,성북근린공원,137759,서울특별시 성북구 돈암동 616-1055,127.0078625,37.5948509
88,봉제산공원,917190,서울특별시 강서구 화곡동 산41-6,126.8517836,37.5421979
89,서울창포원,51470,서울특별시 도봉구 마들로 916(서울창포원) ,127.047938,37.689585
90,북서울꿈의숲,662543,서울특별시 강북구 월계로 173,127.0407344,37.6233355
91,서서울호수공원,217946,서울특별시 양천구 남부순환로64길 20 (신월동),126.8304789,37.5278392
92,중랑캠핑숲,179666,서울특별시 중랑구 송림길 160(중랑캠핑숲)/중랑구 망우동 74(청소년체험의숲),127.1093075,37.6049896
93,솔밭근린공원,34955,서울특별시 강북구 우이동 80번지 일대,127.0116241,37.652331
94,금천체육공원(관악산),18083,서울특별시 금천구 독산동 산118-4(금천체육공원),126.908681,37.468164
95,금천폭포근린공원,4835,서울특별시 금천구 시흥대로38길 61(시흥동 937-2),126.9040127,37.4468663
96,만수천공원(관악산),19650,서울특별시 금천구 독산동 산8 일대,126.9090028,37.4734274
97,발바닥공원,7000,서울특별시 도봉구 시루봉로6길 33,127.031982,37.6597135
